id,date,views,forwards,edit_date,reactions.results,media.photo.date,media.photo.sizes,cleaned_message,category,status,measurement,city,area,amount,currency
8734,2023-08-07,1742,4,2023-08-07,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 16, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👎'}, 'count': 6, 'chosen_order': None}]",,,کـــود 0- K224   زمين  مزارشريف: سرک محکمه ، لب سرک  فروش فی متر | 600$ با جور آمد     صاحب زمين | 0790296670     براي معلومات و ثبت جايداد  خدمات مشتريان | 0784105555,زمين,"فروش, ",متر,مزارشریف,سرک محکمه ،,600,$
8732,2023-08-05,2343,1,2023-08-05,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 10, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 1, 'chosen_order': None}]",,,کـــود 0- K223   زمين  مزارشريف: کارته خراسان کوچه ۷ ،نبش سرک  فروش | 250$ با جور آمد     صاحب زمين | 0730933988   براي معلومات و ثبت جايداد  خدمات مشتريان | 0784105555,زمين,"فروش, ",,مزارشریف,کارته خراسان کوچه,250,$
8720,2023-07-29,3990,3,2023-07-29,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 19, 'chosen_order': None}]",,,کـــود 0- K221   زمين  مزارشريف: خراسان کوچه ۴  فروش | في متر 60$ با جور آمد     صاحب زمين | 0792856225   براي معلومات و ثبت جايداد  خدمات مشتريان | 0784105555,زمين,"فروش, ",متر,مزارشریف,خراسان کوچه ۴,60,$
8714,2023-07-29,3489,1,2023-07-29,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 12, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 4, 'chosen_order': None}]",,,"کـــود 0- H411   حويلي  مزارشريف: پروژه امام حسین  0766763118 |  صاحب حویلی  فروش |11,000$ با جور آمد     براي معلومات و ثبت زمین   0784105555 | ","حویلی, زمین, حويلي","فروش, ",,مزارشریف,پروژه امام حسین,11000,$
8707,2023-07-27,3946,2,2023-07-27,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 11, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👎'}, 'count': 9, 'chosen_order': None}]",,,کـــود 0- K220    زمين  مزارشريف: کارته باختر کوچه ۷  فروش | في متر 200$ با جور آمد     صاحب زمين | 0795743474   براي معلومات و ثبت جايداد  خدمات مشتريان | 0784105555,زمين,"فروش, ",متر,مزارشریف,کارته باختر کوچه,200,$
8701,2023-07-24,5230,0,2023-07-24,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 18, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 6, 'chosen_order': None}]",,,"کـــود 0- H277   حويلي  مزارشريف: شیرآباد،نوآباد افغانیه  فروش | 950,000 افغانی با جور آمد     براي معلومات و ثبت زمین   0784105555 | ","زمین, حويلي","فروش, ",,مزارشریف,شیرآباد،نوآباد افغانیه فروش,12025.31646,$
8694,2023-07-23,4691,4,2023-07-23,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 19, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 11, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👎'}, 'count': 2, 'chosen_order': None}]",,,کـــود 0- H410   حويلي  مزارشريف: کارته نوبهار شرق کوچه ۶  فروش | 60000$ با جور آمد     براي معلومات و ثبت زمین   0784105555 |,"زمین, حويلي","فروش, ",,مزارشریف,کارته نوبهار شرق,60000,$
8686,2023-07-22,4330,0,2023-07-22,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 5, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 3, 'chosen_order': None}]",,,کـــود 1-B23 اپارتمان  کابل: تایمنی  فروش 75000$ با جور آمد    براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0782821919,"زمین, اپارتمان","فروش, ",,کابل,تایمنی فروش 75000$,75000,$
8685,2023-07-22,4281,0,2023-07-22,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 7, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 3, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👎'}, 'count': 2, 'chosen_order': None}]",,,کـــود 1-H96   حویلی   کابل: حوزه پانزدهم شهرک توحید   فروش | 45000$ براي معلومات و ثبت زمین   با ما در ارتباط باشید. 0782821919,"حویلی, زمین","فروش, ",,کابل,حوزه پانزدهم شهرک,45000,$
8684,2023-07-22,4471,1,2023-07-22,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 16, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 1, 'chosen_order': None}]",,,"کـــود 0- H409   حويلي  مزارشريف: گذر مارمل کوچه کاتب زاده  فروش | 84,000$ با جور آمد     براي معلومات و ثبت زمین   0784105555 | ","زمین, حويلي","فروش, ",,مزارشریف,گذر مارمل کوچه,84000,$
8680,2023-07-19,5732,3,2023-07-19,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 36, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 5, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👎'}, 'count': 1, 'chosen_order': None}]",,,کـــود 0-K219   زمين  مزارشريف: بابه قمبر، نبش سرك  فروش | في متر 350$ با جور آمد     صاحب زمين | 0799073773   براي معلومات و ثبت جايداد  خدمات مشتريان | 0784105555,زمين,"فروش, ",متر,مزارشریف,بابه قمبر، نبش,350,$
8657,2023-05-24,7013,0,2023-05-28,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 3, 'chosen_order': None}]",,,کـــود 1-B50  بلاک  کابل:سرك پنجم پروژه تیمنی  فروش |37000$  با جور آمد  براي معلومات و ثبت زمین  0782821919 |,"زمین, بلاک","فروش, ",,کابل,,37000,$
8655,2023-04-28,11116,3,2023-04-28,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 21, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 14, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👎'}, 'count': 1, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🔥'}, 'count': 1, 'chosen_order': None}]",,,کـــود 1-K28   زمین   کابل:گل باع قريه تنگي سيدا لب سرك    فروش |   في جريب 45لك افغاني با جور امد براي معلومات و ثبت زمین    بخش مشتریان | 0782821919  بخش مشتریان | 0771251436,زمین,"فروش, ",جریب,کابل,,57375,$
8653,2023-04-28,9485,0,2023-04-28,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 9, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 8, 'chosen_order': None}]",,,کـــود 1-B49  بلاک  کابل:كارته نو شهرك طلايي  فروش |في متراژ 440$  با جور آمد  براي معلومات و ثبت زمین  0782821919 |  0785337298,"زمین, بلاک","فروش, ",متر,کابل,,440,$
8650,2023-04-28,8929,0,2023-04-28,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 11, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 2, 'chosen_order': None}]",,,کـــود 1-H93  حویلی  کابل:سه راهي علاوالدين  فروش |50000$  با جور آمد  براي معلومات و ثبت زمین   0782821919 |    0781402487|,"حویلی, زمین","فروش, ",,کابل,,50000,$
8641,2023-03-28,12454,1,2023-03-28,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 10, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 6, 'chosen_order': None}]",,,کـــود 1-H92  حویلی  کابل: ناحیه ياردهم 315  فروش |115000$  با جور آمد  براي معلومات و ثبت زمین   0782821919 |,"حویلی, زمین","فروش, ",,کابل,ناحیه ياردهم 315,115000,$
8640,2023-03-18,14618,2,2023-03-18,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 18, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🤔'}, 'count': 12, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🤨'}, 'count': 8, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 6, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '😱'}, 'count': 2, 'chosen_order': None}]",,,کـــود 0-H397   حويلي  مزارشريف: كارته آريانا  فروش | 190000$ با جور آمد     براي معلومات و ثبت زمین   0798576666 |,"زمین, حويلي","فروش, ",,مزارشریف,كارته آريانا فروش,190000,$
8634,2023-03-18,11004,5,2023-03-18,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 13, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '🤔'}, 'count': 6, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 4, 'chosen_order': None}]",,,کـــود 0-H401   حويلي  مزارشريف: كارته بخدي  فروش | 87000$ با جور آمد     براي معلومات و ثبت زمین   0798576666 |,"زمین, حويلي","فروش, ",,مزارشریف,كارته بخدي فروش,87000,$
8629,2023-03-16,10581,2,2023-03-16,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 15, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 7, 'chosen_order': None}]",,,کـــود 0-K155   زمين  مزارشريف: بابه یادگار  فروش | في متر 19$ با جور آمد     براي معلومات و ثبت زمین   0798576666 |,"زمین, زمين","فروش, ",متر,مزارشریف,بابه یادگار فروش,19,$
8623,2023-03-15,9437,2,2023-03-15,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 10, 'chosen_order': None}]",,,کـــود 0-K218   زمين  مزارشريف: شهرک متحد  فروش | في متر 22$ با جور آمد     براي معلومات و ثبت زمین   0798576666 |,"زمین, زمين","فروش, ",متر,مزارشریف,شهرک متحد فروش,22,$
8618,2023-03-15,8914,3,2023-03-15,"[{'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👍'}, 'count': 8, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '👀'}, 'count': 3, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '😱'}, 'count': 2, 'chosen_order': None}, {'_': 'ReactionCount', 'reaction': {'_': 'ReactionEmoji', 'emoticon': '❤'}, 'count': 1, 'chosen_order': None}]",,,کـــود 0-H407   حويلي  مزارشريف: کارته صلح  فروش | 65000$  با جور آمد     براي معلومات و ثبت زمین   0798576666 |,"زمین, حويلي","فروش, ",,مزارشریف,کارته صلح فروش,65000,$
