id,date,views,forwards,edit_date,item,item_name,address,amount,currency
7658,2022-12-26,287,0,,0-H323, حويلي , مزارشريف: چوك نور, فروش | 55000$  با جور آمد   ,Dollar
7653,2022-12-26,567,0,2022-12-26,1-H11, حویلی , کابل: چهلستون ," فروش | 90,000$ با جور آمد   ",Dollar
7647,2022-12-25,1094,0,2022-12-25,0-H347, حويلي , مزارشريف: پروزه S, فروش | 58000$ با جور آمد   ,Dollar
7639,2022-12-25,1266,0,2022-12-25,1-B27, حویلی , کابل: سرکوتل," فروش | 10,000$ با جور آمد   ",Dollar
7637,2022-12-24,1425,0,2022-12-25,0-H318, حويلي , مزارشريف: شهرك خالد, فروش | 65000$  با جور آمد   ,Dollar
7626,2022-12-24,1488,0,2022-12-24,0-H361, حويلي , مزارشريف: كارته اماني, فروش | 150000$  با جور آمد   ,Dollar
7615,2022-12-24,1437,1,2022-12-24,0-K189, زمين , مزارشريف: گذر گله چنار, فروش | في متر 2000 افغاني با جور آمد   ,AF
7613,2022-12-24,1536,0,2022-12-24,1-BG5, بلاک گروی , کابل: لب حر," گرو | 9,000 با جور آمد   ",AF
7607,2022-12-22,1816,1,2022-12-22,0-K194, زمين , مزارشريف: كارته ايشاني, فروش | في متر 30$  با جور آمد   ,Dollar
7605,2022-12-22,1834,0,2022-12-22,0-H310, حويلي , مزارشريف: سرك دوم تختيكم, فروش | في متر 250$  با جور آمد   ,Dollar
7603,2022-12-22,1790,0,2022-12-22,1-H65, حویلی , کابل: سلیم کاروان ," فروش | 38,000$ با جور آمد   ",Dollar
7595,2022-12-21,2001,0,2022-12-21,0-H360, حويلي , مزارشريف: شهرك خالد, فروش | 17000$  با جور آمد   ,Dollar
7588,2022-12-21,1898,0,2022-12-21,1-H74, حویلی , کابل: دارلامان ," فروش | 37,000$ با جور آمد   ",Dollar
7581,2022-12-20,1978,3,2022-12-20,0-H346, حويلي , مزارشريف: پروزه S, فروش | 50000$ با جور آمد   ,Dollar
7573,2022-12-20,2072,3,2022-12-20,0-H359, حويلي , مزارشريف: كارته ايشاني, فروش | 30000$  با جور آمد   ,Dollar
7571,2022-12-19,2190,0,2022-12-19,0-H319, حويلي , مزارشريف: شهرك خالد, فروش | 50000$  با جور آمد   ,Dollar
7561,2022-12-19,2166,1,2022-12-19,0-H325, حويلي , مزارشريف: شهرك خالد, فروش | 30000$  با جور آمد   ,Dollar
7554,2022-12-19,2052,0,2022-12-19,1-H173, حویلی , کابل: چهاراهی شهید ," فروش | 55,000$ با جور آمد   ",Dollar
7552,2022-12-18,2118,0,2022-12-18,0-H351, حويلي , مزارشريف: آريانا, فروش | 250000$ با جور آمد   ,Dollar
7547,2022-12-18,2172,3,2022-12-18,0-K198, زمين , مزارشريف: شهرك خالد, فروش | 3500$  با جور آمد   ,Dollar
7545,2022-12-18,2132,0,2022-12-18,1-H172, حویلی , کابل: ناحیه اول ," فروش | 150,000$ با جور آمد   ",Dollar
7543,2022-12-17,2200,1,2022-12-17,0-K187,, كارته مندوي, فروش | في متر 250$  با جور آمد   ,Dollar
7538,2022-12-17,2198,0,2022-12-17,0-K197, زمين , مزارشريف: گذر قلندر شاه دوم, فروش | في متر 400$  با جور آمد   ,Dollar
7536,2022-12-17,2158,0,2022-12-17,1-H71, حویلی , کابل: بلاک سر مینه ," فروش | 65,000$ با جور آمد   ",Dollar
7529,2022-12-16,2351,0,2022-12-16,1-H70, حویلی , کابل: کارته نوع , فروش | 77 لک افغانی با جور آمد   ,HT
7527,2022-12-15,2378,1,2022-12-16,0-K196, زمين , مزارشريف: گذر حيات, فروش | 45000$  با جور آمد   ,Dollar
7525,2022-12-15,2369,0,2022-12-15,0-H339, حويلي , مزارشريف: شهرك خالد, فروش | 95000$ با جور آمد   ,Dollar
